topic,score1,score2,score3,score4,score5
128003,"[3, 4, 3, 3, 4]","[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]"
128004,"[3, 4, 4, 4, 4]","[4, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 4, 4, 3, 4]"
128005,"[3, 3, 3, 3, 3]","[3, 2, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 4, 3, 3]","[3, 4, 3, 4, 4]"
128006,"[4, 4, 5, 5, 5]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[4, 3, 4, 3, 4]","[3, 4, 3, 3, 4]"
129001,"[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 3, 3, 2, 3]","[2, 2, 2, 1, 2]","[2, 3, 2, 2, 3]"
129002,"[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
129003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
129004,"[3, 4, 4, 4, 4]","[3, 4, 3, 3, 4]","[3, 4, 4, 3, 4]","[3, 3, 3, 3, 3]","[3, 4, 4, 3, 4]"
129005,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[2, 4, 3, 3, 4]","[3, 4, 4, 4, 4]"
129006,"[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 3, 4, 3, 3]"
130001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]"
130002,"[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 3, 2, 2, 3]","[2, 2, 2, 2, 2]"
130003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]"
130004,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]"
130005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[1, 3, 2, 3, 3]"
130006,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]","[3, 3, 4, 3, 3]"
131001,"[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 3, 3, 3]"
131002,"[2, 3, 2, 2, 3]","[1, 2, 3, 2, 2]","[1, 2, 1, 1, 2]","[2, 1, 2, 2, 2]","[1, 3, 2, 3, 3]"
131003,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 2, 1, 1, 1]","[1, 2, 1, 1, 1]","[1, 2, 1, 1, 1]"
131004,"[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 1, 2, 2]","[2, 2, 1, 2, 2]","[2, 3, 2, 2, 3]"
131005,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
131006,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[2, 1, 1, 1, 2]","[1, 1, 1, 1, 1]"
132001,"[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]","[2, 2, 3, 2, 3]","[2, 2, 2, 2, 2]"
132002,"[2, 4, 3, 3, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 4, 3, 4]","[3, 4, 3, 3, 4]"
132003,"[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 3, 4]"
132004,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 2, 3]","[2, 3, 2, 3, 3]"
132005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 4, 4, 4]","[3, 4, 3, 3, 4]"
132006,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 3]"
133001,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 3, 4]","[3, 4, 4, 4, 4]","[2, 4, 4, 3, 4]"
133002,"[2, 4, 3, 3, 3]","[3, 4, 3, 4, 4]","[3, 4, 4, 3, 4]","[2, 4, 3, 3, 3]","[2, 3, 4, 3, 3]"
133003,"[1, 2, 1, 1, 2]","[1, 2, 1, 1, 2]","[1, 2, 1, 1, 2]","[2, 3, 2, 2, 3]","[2, 3, 1, 2, 3]"
133004,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[2, 3, 2, 3, 3]","[1, 3, 2, 2, 2]"
133005,"[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]"
133006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
134001,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]"
134002,"[2, 3, 3, 3, 3]","[3, 4, 3, 4, 4]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[4, 3, 3, 3, 3]"
134003,"[2, 3, 3, 3, 3]","[1, 3, 2, 2, 2]","[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]"
134004,"[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
134005,"[2, 3, 3, 2, 3]","[2, 3, 3, 2, 3]","[2, 2, 3, 2, 3]","[1, 2, 2, 3, 2]","[2, 3, 3, 2, 3]"
134006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]"
135001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]"
135002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
135003,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
135004,"[1, 2, 2, 2, 2]","[1, 2, 2, 1, 2]","[1, 2, 2, 2, 2]","[1, 1, 2, 2, 2]","[1, 1, 1, 1, 1]"
135005,"[1, 2, 1, 1, 2]","[1, 1, 1, 1, 1]","[1, 2, 1, 2, 2]","[1, 2, 2, 1, 2]","[1, 1, 1, 1, 1]"
135006,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 4]","[2, 4, 3, 4, 4]","[2, 4, 3, 4, 4]"
136001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
136002,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 4, 4, 4, 3]","[2, 4, 3, 3, 4]"
136003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]"
136004,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]"
136005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
136006,"[2, 4, 3, 4, 4]","[2, 4, 3, 4, 4]","[2, 4, 3, 4, 4]","[2, 4, 3, 4, 4]","[3, 4, 4, 4, 4]"
137001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 4, 3, 3]"
137002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 3, 3, 3]"
137003,"[1, 2, 3, 2, 2]","[1, 2, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 1, 2, 2, 2]"
137004,"[2, 3, 3, 2, 3]","[2, 3, 2, 3, 3]","[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]","[2, 2, 2, 2, 2]"
137005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 4, 3, 3, 3]"
137006,"[3, 4, 4, 4, 4]","[4, 4, 4, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 3, 3, 4]"
138001,"[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]"
138002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[1, 4, 3, 3, 3]","[2, 4, 3, 3, 3]"
138003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
138004,"[1, 2, 2, 2, 2]","[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
138005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]"
138006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 4, 3, 3]","[2, 3, 3, 3, 3]"
139001,"[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 2, 2, 2]","[1, 1, 2, 1, 1]","[1, 2, 2, 2, 2]"
139002,"[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
139003,"[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]"
139004,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 4, 3]","[2, 4, 3, 4, 4]"
139005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]","[2, 3, 3, 2, 3]","[3, 4, 3, 3, 4]"
139006,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 3, 4, 3, 3]"
140001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
140002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]"
140003,"[2, 3, 2, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 1, 2, 3]"
140004,"[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 1, 2, 2]","[1, 2, 3, 2, 2]","[1, 2, 1, 2, 2]"
140005,"[2, 3, 2, 3, 3]","[2, 2, 3, 2, 3]","[1, 2, 2, 3, 2]","[2, 3, 2, 3, 3]","[2, 3, 3, 2, 3]"
140006,"[1, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 1, 2, 2]","[1, 2, 2, 2, 2]","[2, 3, 2, 2, 3]"
141001,"[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[1, 2, 1, 2, 2]","[2, 2, 2, 3, 3]","[1, 2, 2, 2, 2]"
141002,"[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]"
141003,"[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 2, 2, 2]","[1, 1, 2, 2, 2]","[1, 1, 2, 2, 2]"
141004,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 1, 2]"
141005,"[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 3, 3, 2]","[1, 2, 2, 2, 2]","[2, 3, 3, 3, 3]"
141006,"[2, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[2, 2, 3, 2, 2]","[1, 2, 2, 2, 2]","[2, 2, 3, 2, 3]"
142001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 2, 3, 3]"
142002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 2, 3, 3, 3]","[1, 2, 2, 2, 2]"
142003,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
142004,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 3, 3]"
142005,"[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 4, 3, 4, 4]","[2, 4, 3, 3, 4]","[2, 3, 3, 4, 3]"
142006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 4, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 4, 3]"
143001,"[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 4, 4]","[3, 4, 3, 3, 4]","[2, 3, 3, 4, 3]"
143002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]"
143003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]"
143004,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 4]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
143005,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]"
143006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]"
144001,"[2, 3, 2, 3, 3]","[2, 2, 2, 2, 2]","[2, 2, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 2, 3, 2, 3]"
144002,"[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 4, 3]"
144003,"[2, 3, 3, 2, 3]","[1, 3, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 3, 2, 2]","[2, 3, 3, 2, 3]"
144004,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 1, 2]"
144005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]"
144006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
145001,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
145002,"[2, 3, 2, 2, 3]","[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]","[2, 3, 3, 2, 3]","[1, 2, 2, 2, 2]"
145003,"[2, 3, 2, 2, 3]","[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]","[2, 3, 2, 2, 2]","[2, 3, 3, 3, 3]"
145004,"[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 2, 2, 2]","[2, 2, 2, 1, 2]","[1, 2, 1, 1, 2]"
145005,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 1, 2, 2, 2]"
145006,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 2, 1, 1, 2]","[1, 1, 1, 1, 1]","[1, 1, 2, 1, 1]"
146001,"[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 1, 2, 2, 2]","[1, 2, 3, 3, 3]"
146002,"[2, 3, 3, 3, 3]","[2, 3, 4, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
146003,"[3, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
146004,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
146005,"[2, 2, 3, 2, 3]","[2, 2, 3, 2, 3]","[2, 2, 3, 3, 3]","[2, 3, 2, 3, 3]","[1, 1, 2, 2, 2]"
146006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 4, 3]","[2, 3, 2, 3, 3]"
147001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 2, 2, 3]","[1, 2, 2, 1, 2]"
147002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]"
147003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
147004,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
147005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 2, 3]","[2, 2, 3, 3, 3]"
147006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]"
148001,"[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]","[3, 4, 4, 4, 4]","[3, 5, 4, 4, 4]","[3, 4, 4, 4, 4]"
148002,"[2, 4, 3, 4, 4]","[2, 4, 3, 3, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 4]","[3, 4, 4, 4, 4]"
148003,"[2, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 4, 4, 4]","[2, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
148004,"[2, 4, 4, 4, 4]","[2, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 4, 4, 4]","[2, 4, 3, 4, 4]"
148005,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 4, 3]"
148006,"[3, 4, 4, 4, 4]","[2, 4, 4, 4, 4]","[2, 4, 3, 4, 4]","[2, 4, 3, 4, 4]","[3, 4, 4, 3, 4]"
149001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 2, 3, 2, 2]","[1, 2, 2, 2, 2]","[2, 2, 2, 2, 2]"
149002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
149003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]"
149004,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[2, 2, 1, 2, 2]"
149005,"[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 2, 3, 2, 3]","[2, 2, 3, 2, 3]","[1, 3, 2, 2, 2]"
149006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 4, 3]","[2, 3, 3, 3, 3]"
150001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]"
150002,"[1, 2, 2, 2, 2]","[2, 3, 2, 2, 3]","[2, 3, 2, 3, 3]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
150003,"[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]","[2, 2, 3, 2, 3]","[2, 2, 1, 1, 2]","[2, 2, 2, 2, 2]"
150004,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]","[2, 3, 4, 3, 3]"
150005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[1, 2, 1, 2, 2]"
150006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
